DCO,CAD_S,CHF_S,EUR_S,GBP_S,USD_S
1/2/2022,17.582,7.137,446.407,49.628,175.565
1/3/2022,25.268,101.684,521.899,16.855,255.70499999999998
1/4/2022,702.514,6.456,103.416,838.0,14.072
1/6/2022,16.972,17.248,567.2620000000001,184.915,120.76400000000001
1/7/2022,10.566,7.063,317.309,92.471,629.131
1/8/2022,8.953,297.297,350.923,729.156,78.312
1/9/2022,45.09,24.569,514.846,18.061,261.676
10/1/2022,24.031,583.644,484.996,5.625,186.055
10/2/2022,25.321,775.81,489.925,220.0,24.666
10/3/2022,10.815000000000001,520.0,398.961,0.0,329.90999999999997
10/5/2022,274.599,427.7,723.6859999999999,430.0,94.31800000000001
10/6/2022,13.454999999999998,701.963,311.22700000000003,1100.0,191.35
10/8/2022,7.931,640.0,257.954,2.94,118.968
11/1/2022,25.184,2.133,352.975,604.814,111.35099999999998
11/2/2022,10.299,5.874,420.331,77.298,53.822
11/3/2022,614.963,407.513,749.497,3.823,954.388
11/4/2022,4.004,1.12,280.242,332.0,333.297
11/5/2022,10.433,4.133,664.489,2.559,692.288
11/7/2022,16.134999999999998,574.0,357.65500000000003,1.629,185.283
11/8/2022,16.004,2.227,626.296,1344.0,552.255
12/1/2022,156.365,1.329,147.613,0.0,213.093
12/4/2022,9.156,631.12,213.39600000000002,,114.54599999999999
12/5/2022,12.841000000000001,3.472,540.413,352.0,33.247
12/7/2022,852.465,635.0,339.891,141.52,103.925
12/8/2022,26.218,621.246,146.60399999999998,988.961,181.675
12/9/2022,48.098,704.641,320.836,51.032,154.303
13/1/2022,28.275000000000002,188.5,219.755,28.496,169.94299999999998
13/4/2022,8.603,1.12,305.441,148.0,78.269
13/5/2022,438.236,7.898999999999999,288.46500000000003,155.783,988.101
13/6/2022,14.83,657.0,426.23699999999997,610.0,189.232
13/7/2022,15.284,633.0,232.302,61.737,155.067
13/9/2022,38.615,50.388000000000005,452.812,117.065,424.195
14/1/2022,911.568,3.505,295.76,164.457,87.979
14/2/2022,12.459,705.8,351.595,1465.0,181.90499999999997
14/3/2022,5.767,12.217,262.179,258.0,208.45100000000002
14/4/2022,384.947,351.12,386.26800000000003,438.0,282.59700000000004
14/6/2022,11.671,11.047,198.023,818.53,115.405
14/7/2022,5.909,232.784,529.455,549.39,171.06499999999997
14/9/2022,868.521,702.279,414.05,168.225,112.53399999999999
15/2/2022,26.972,391.923,508.907,3.583,276.026
15/3/2022,155.13,565.908,472.688,777.0,226.334
15/4/2022,151.817,2.517,271.505,161.505,142.44299999999998
15/6/2022,13.387,746.0,344.30499999999995,365.618,137.193
15/7/2022,10.102,1.96,125.425,214.663,148.358
15/8/2022,8.607,715.0,340.048,916.71,207.18
15/9/2022,691.435,707.924,561.642,44.253,107.897
16/2/2022,24.851,40.992999999999995,420.407,434.0,137.262
16/3/2022,4.986,173.433,368.66499999999996,560.0,117.979
16/5/2022,8.603,775.754,317.48,433.863,338.625
16/6/2022,17.803,,379.173,598.575,33.036
16/8/2022,14.414000000000001,546.0,295.956,780.162,142.38
16/9/2022,15.697,19.956,457.207,198.912,802.623
17/1/2022,17.41,900.0,351.835,155.25,228.132
17/2/2022,18.985,6.725,391.304,1.103,107.373
17/3/2022,3.22,19.203,357.791,150.0,424.217
17/5/2022,5.151,469.0,364.101,1135.0,938.933
17/6/2022,18.265,605.63,402.89,150.937,98.975
17/8/2022,17.896,1.371,354.606,36.004,71.964
18/1/2022,15.350999999999999,20.528,274.972,474.879,313.702
18/2/2022,15.099,549.801,245.835,44.0,180.73600000000002
18/3/2022,7.462999999999999,750.0,330.476,189.383,175.1
18/4/2022,698.74,6.874,313.6,1029.0,20.555
18/5/2022,9.771,297.851,261.489,3.1020000000000003,182.032
18/7/2022,7.3149999999999995,634.0,212.998,2.475,115.131
18/8/2022,18.232,16.705,282.536,220.494,576.3159999999999
19/1/2022,985.0,,227.224,15.672,180.981
19/4/2022,5.944,64.52,476.199,195.0,113.228
19/5/2022,9.501000000000001,356.0,462.066,644.416,236.08
19/7/2022,591.266,119.274,433.25300000000004,1501.0,56.515
19/8/2022,16.722,378.0,614.026,437.127,108.38
19/9/2022,14.039,2.474,370.21799999999996,8.271,91.585
2/2/2022,40.369,1.314,94.078,568.0,480.64000000000004
2/3/2022,28.87,424.288,391.822,740.0,132.589
2/6/2022,23.368000000000002,199.909,329.01,19.608,173.32999999999998
2/8/2022,13.673,5.545,328.598,380.906,165.95
2/9/2022,65.488,11.522,371.66,36.89,207.12699999999998
20/1/2022,23.169,657.0,200.853,15.137,801.268
20/4/2022,963.645,2.426,71.082,918.0,125.792
20/5/2022,1554.0,733.0,230.476,202.137,114.455
20/6/2022,23.608999999999998,643.0,304.391,815.5,289.593
20/7/2022,8.161999999999999,925.232,441.478,3.627,220.733
20/9/2022,15.17,583.0,541.057,745.0,98.134
21/1/2022,134.0,,416.573,490.32,203.72
21/2/2022,10.123,280.0,693.415,23.686,891.047
21/3/2022,659.666,672.0,309.854,20.479,178.60900000000004
21/4/2022,28.157,186.141,195.72899999999998,15.597,280.761
21/6/2022,11.023,151.285,452.176,529.275,728.203
21/7/2022,3.78,141.268,416.879,47.412,174.45600000000002
21/9/2022,34.324,246.75,787.743,1497.0,115.43700000000001
22/2/2022,1.619,2.808,513.957,21.111,166.364
22/3/2022,7.5569999999999995,551.681,221.483,264.0,89.55199999999999
22/4/2022,7.149,655.0,400.594,363.395,950.8820000000001
22/6/2022,12.032,980.0,339.496,980.439,148.147
22/7/2022,32.945,85.274,438.498,178.115,116.479
22/8/2022,15.139999999999999,,360.659,6.545999999999999,126.34100000000001
22/9/2022,12.83,911.827,352.40700000000004,45.798,194.237
23/2/2022,9.436,281.343,150.196,4.989,173.98199999999997
23/3/2022,13.165,863.0,328.67299999999994,80.662,450.447
23/5/2022,3.438,490.0,498.63800000000003,625.0,176.969
23/6/2022,19.06,2.1,237.941,906.761,112.71000000000001
23/8/2022,19.839,1.54,280.56,660.0,100.287
23/9/2022,31.701,664.0,585.232,107.79,132.228
24/1/2022,22.603,,294.747,145.0,88.351
24/2/2022,169.398,51.45,290.53,3.818,458.557
24/3/2022,18.576999999999998,13.784,243.612,216.0,72.108
24/5/2022,6.0969999999999995,705.895,303.506,828.998,167.28500000000003
24/6/2022,575.42,,301.51,101.0,75.268
24/8/2022,23.647,6.395,332.524,21.519,145.70399999999998
25/1/2022,10.308,2.665,428.006,70.0,249.753
25/2/2022,6.252,2.335,533.697,947.0,1073.633
25/3/2022,6.5760000000000005,2.613,908.901,155.2,123.774
25/4/2022,11.986,1.815,436.655,10.942,256.45799999999997
25/5/2022,17.576,845.0,404.169,711.0,152.147
25/8/2022,6.981,4.224,259.071,375.0,141.701
26/1/2022,26.731,762.0,377.641,12.258,188.80599999999998
26/4/2022,662.906,4.696,510.49,572.423,344.262
26/5/2022,11.745000000000001,5.442,539.24,38.225,170.12699999999998
26/7/2022,7.161,1.837,329.34,563.4200000000001,61.083
26/8/2022,234.442,192.0,319.73199999999997,270.736,175.422
26/9/2022,5.3100000000000005,2.87,501.00900000000007,316.869,27.097
27/1/2022,12.717,743.358,256.729,3.412,109.553
27/4/2022,18.045,8.347000000000001,338.279,844.835,728.523
27/5/2022,11.254999999999999,6.058999999999999,508.169,8.82,167.884
27/6/2022,18.971,679.0,377.46500000000003,434.824,668.4870000000001
27/7/2022,843.518,34.3,371.33500000000004,184.513,214.412
28/1/2022,365.919,11.482,386.182,57.952,71.224
28/2/2022,180.548,21.574,597.175,383.989,753.024
28/3/2022,10.152,619.0,51.52,197.273,139.11100000000002
28/4/2022,10.350999999999999,7.284,452.471,581.138,202.41400000000002
28/6/2022,4.853,,316.959,980.0,133.50900000000001
28/7/2022,21.424,879.839,477.24099999999993,962.21,120.334
29/3/2022,10.755,3.044,316.273,376.119,214.955
29/4/2022,21.65,706.526,149.197,522.0,213.909
29/6/2022,26.212000000000003,10.588,386.103,5.278,91.161
29/7/2022,17.245,5.763,322.18,984.22,147.082
29/8/2022,14.226,880.0,217.70799999999997,211.0,112.52499999999999
3/1/2022,30.461000000000002,154.372,583.7539999999999,99.596,197.641
3/2/2022,956.608,5.856,356.26199999999994,24.134,215.359
3/3/2022,244.781,3.2800000000000002,345.71799999999996,39.814,171.901
3/6/2022,20.915,9.107,375.649,894.0,95.158
3/8/2022,984.203,546.0,306.102,560.45,107.044
30/3/2022,191.497,15.671,281.777,4.783,111.261
30/5/2022,25.296,76.937,422.02399999999994,615.0,179.678
30/6/2022,12.925,707.687,411.448,149.677,90.595
30/8/2022,22.89,41.02,785.763,71.446,690.379
31/1/2022,32.436,10.613,621.2600000000001,163.297,35.071
31/5/2022,18.929,7.151,183.981,41.882999999999996,155.801
31/8/2022,48.598,13.107,659.023,38.868,182.71599999999998
4/1/2022,14.992999999999999,229.0,268.215,22.407,63.991
4/2/2022,254.385,121.218,105.969,6.907,125.583
4/3/2022,7.366,15.767999999999999,454.803,78.144,91.522
4/4/2022,5.283,2.41,114.441,202.816,116.446
4/5/2022,440.226,394.291,477.552,192.305,182.48
4/7/2022,9.362,897.901,278.90500000000003,62.533,102.527
4/8/2022,19.738,792.0,324.957,177.799,971.7760000000001
5/1/2022,25.472,3.476,319.91200000000003,529.0,8.783999999999999
5/4/2022,17.842,4.388,466.167,453.0,115.556
5/5/2022,18.357,5.947,445.852,163.679,87.393
5/7/2022,15.655999999999999,985.0,359.616,188.068,636.6089999999999
5/8/2022,23.564,121.109,275.82800000000003,135.515,63.092
5/9/2022,416.343,6.556,367.77,388.329,168.59
6/1/2022,42.451,3.173,346.021,367.65,98.30499999999999
6/4/2022,12.62,2.613,315.619,32.47,115.144
6/5/2022,23.578,423.639,658.495,438.413,218.769
6/6/2022,8.284,3.167,276.247,1076.0,45.75
6/7/2022,14.036999999999999,2.74,359.077,34.582,283.309
6/9/2022,14.388,3.676,315.43600000000004,129.806,144.909
7/1/2022,13.547,,332.425,32.286,216.018
7/2/2022,477.325,281.33,261.466,1.11,170.893
7/3/2022,16.222,145.709,399.443,948.4,199.774
7/4/2022,351.575,356.0,220.752,500.0,169.808
7/6/2022,15.04,632.169,294.638,8.472999999999999,162.398
7/7/2022,623.769,13.027000000000001,294.558,148.699,362.441
7/9/2022,29.649,8.623,681.3729999999999,25.046999999999997,131.813
8/2/2022,8.053,,388.531,172.0,181.757
8/3/2022,8.561,1.969,374.451,370.26,275.132
8/4/2022,5.463,5.209,296.505,275.0,122.414
8/6/2022,4.877,,606.511,899.689,820.822
8/7/2022,11.156,793.0,449.46099999999996,8.679,26.939
8/8/2022,7.979,2.717,423.427,727.0,206.649
8/9/2022,59.42,629.39,546.879,444.966,508.20000000000005
9/2/2022,16.377,3.142,367.115,7.4719999999999995,151.375
9/3/2022,9.738999999999999,1038.0,384.71999999999997,2.644,91.69
9/5/2022,14.782,5.8149999999999995,392.347,736.0,190.218
9/6/2022,7.072000000000001,1.372,262.49199999999996,69.254,282.562
9/8/2022,851.512,,305.843,33.068,30.441
9/9/2022,31.758000000000003,7.487,395.31899999999996,19.541,137.55800000000002
